date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:25	355/355	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Feb%202026%2007:04:25%20GMT	https://demo.dethemes.com/robots.txt		(from )
10:04:25	11941/11941	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202017%2006:45:48%20GMT	https://demo.dethemes.com/Kifaru rugbyugby/	C:/My%20Web%20Sites/winners%20and%20rulers/demo.dethemes.Kifaru rugbyru rugby/index.html	(from )
10:04:26	1905/1905	---M--	200	added ('OK')	image/jpeg	date:Tue,%2031%20Oct%202017%2012:02:59%20GMT	https://demo.dethemes.com/Kifaru rugbyugby/images/favicon.jpg	C:/My%20Web%20Sites/winners%20and%20rulers/demo.dethemes.Kifaru rugbyru rugby/images/favicon.jpg	(from https://demo.detheKifaru rugbyKifaru rugby/)
10:04:26	1059/1059	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Oct%202017%2012:01:06%20GMT	https://demo.dethemes.com/Kifaru rugbyugby/css/pace/preloader.css	C:/My%20Web%20Sites/winners%20and%20rulers/demo.dethemes.Kifaru rugbyru rugby/css/pace/preloader.css	(from https://demo.detheKifaru rugbyKifaru rugby/)
10:04:27	122241/122241	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Oct%202017%2012:00:42%20GMT	https://demo.dethemes.com/Kifaru rugbyugby/css/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/winners%20and%20rulers/demo.dethemes.Kifaru rugbyru rugby/css/bootstrap/bootstrap.min.css	(from https://demo.detheKifaru rugbyKifaru rugby/)
10:04:28	62246/62246	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Oct%202017%2012:00:37%20GMT	https://demo.dethemes.com/Kifaru rugbyugby/css/animate/animate.css	C:/My%20Web%20Sites/winners%20and%20rulers/demo.dethemes.Kifaru rugbyru rugby/css/animate/animate.css	(from https://demo.detheKifaru rugbyKifaru rugby/)
10:04:29	31000/31000	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Oct%202017%2012:01:15%20GMT	https://demo.dethemes.com/Kifaru rugbyugby/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/winners%20and%20rulers/demo.dethemes.Kifaru rugbyru rugby/css/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://demo.detheKifaru rugbyKifaru rugby/)
10:04:29	18146/18146	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Oct%202017%2012:00:36%20GMT	https://demo.dethemes.com/Kifaru rugbyugby/css/style.css	C:/My%20Web%20Sites/winners%20and%20rulers/demo.dethemes.Kifaru rugbyru rugby/css/style.css	(from https://demo.detheKifaru rugbyKifaru rugby/)
10:04:29	11941/11941	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202017%2006:45:48%20GMT	https://demo.dethemes.com/Kifaru rugbyugby/index.html	C:/My%20Web%20Sites/winners%20and%20rulers/demo.dethemes.Kifaru rugbyru rugby/index.html	(from https://demo.detheKifaru rugbyKifaru rugby/)
10:04:29	6694/6694	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Nov%202017%2006:45:43%20GMT	https://demo.dethemes.com/Kifaru rugbyugby/about.html	C:/My%20Web%20Sites/winners%20and%20rulers/demo.dethemes.Kifaru rugbyru rugby/about.html	(from https://demo.detheKifaru rugbyKifaru rugby/)
